,,,,,,Crack Seal/Fill,,,Rejuvenator,,,Fog/Coal tar seal,,,Slurry/Micro,,,Chip/Cape,,,Overlay/Mill+overlay,,,Patch/Reconstruct,,,Total Rehab/Reconstruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distress Description,DC,Sev,Quan,PCI,Do Nothing,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,,Mod Quan,Explain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to weather,57,L,5000,94,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,111 ",555.6,$2.00 ,"$1,389 ",555.6,$2.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely Weathering,57,M,5000,80,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to ravel,52,L,5000,74,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,111 ",555.6,$2.00 ,"$1,389 ",555.6,$2.50 ,"$1,944 ",555.6,$3.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely raveling ,52,M,5000,43,,,,,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,"$2,222 ",555.6,$4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints low,48,L,150,90,,$75 ,150,$0.50 ,$206 ,555.6,$0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints moderate,48,M,150,81,,$113 ,150,$0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints- high,48,H,150,67,,$150 ,150,$1.00 ,,,,,,,,,,,,,"$2,500 ",555.6,$4.50 ,"$7,500 ",150,$50.00 ,"$41,670 ",556,$75.00 ,$65/75/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- low,48,L,400,80,,$200 ,400,$0.50 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,"$1,389 ",555.6,$2.50 ,"$3,611 ",555.6,$6.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- moderate,48,M,400,67,,$300 ,400,$0.75 ,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,"$4,167 ",555.6,$7.50 ,"$20,000 ",400,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- high,48,H,400,50,,$400 ,400,$1.00 ,,,,,,,,,,,,,"$4,722 ",555.6,$8.50 ,"$20,000 ",400,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Low,48,L,150,90,,$75 ,150,$0.50 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Moderate,48,M,150,81,,$113 ,150,$0.75 ,,,,,,,,,,,,,"$2,222 ",555.6,$4.00 ,"$7,500 ",150,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- High ,48,H,150,67,,$150 ,150,$1.00 ,$206 ,555.6,$0.37 ,,,,,,,,,,"$2,500 ",555.6,$4.50 ,"$7,500 ",150,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart low,48,L,100,93,,$50 ,100,$0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart moderate,48,M,100,84,,$75 ,100,$0.75 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,,,,"$2,222 ",555.6,$4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart high,48,H,100,73,,$100 ,100,$1.00 ,,,,,,,,,,,,,"$2,500 ",555.6,$4.50 ,"$5,000 ",100,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart- low,48,L,500,77,,$250 ,500,$0.50 ,,,,$206 ,555.6,$0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart moderate,48,M,500,63,,$375 ,500,$0.75 ,,,,,,,,,,"$1,528 ",555.6,$2.75 ,"$4,167 ",555.6,$7.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart high,48,H,500,46,,$500 ,500,$1.00 ,,,,,,,,,,"$1,667 ",555.6,$3.00 ,"$4,722 ",555.6,$8.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking low,43,L,5000,64,,$625 ,1250,$0.50 ,,,,$206 ,555.6,$0.37 ,,,,"$1,389 ",555.6,$2.50 ,,,,,,,,,,,1250,"6 long cracks,  13 trans, based on 7.5x7.5 block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking moderate,43,M,5000,47,,$938 ,1250,$0.75 ,$206 ,555.6,$0.37 ,,,,,,,"$1,528 ",555.6,$2.75 ,"$4,167 ",555.6,$7.50 ,,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking high,43,H,5000,22,,"$1,250 ",1250,$1.00 ,,,,,,,,,,"$1,667 ",555.6,$3.00 ,"$4,722 ",555.6,$8.50 ,"$62,500 ",1250,$50.00 ,"$41,670 ",556,$75.00 ,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking Low,47,L,200,91,,$100 ,200,$0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking MODERATE,47,M,200,75,,$150 ,200,$0.75 ,,,,,,,,,,"$1,528 ",555.6,$2.75 ,"$4,167 ",555.6,$7.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking HIGH,47,H,200,64,,$200 ,200,$1.00 ,,,,,,,,,,,,,"$4,722 ",555.6,$8.50 ,"$10,000 ",200,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% of AREA  LOW,41,L,500,57,,$250 ,500,$0.50 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,,,,,,,"$25,000 ",500,$50.00 ,,,,,500,"In 5x100, cracks every 1'=500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% of AREA  MODERATE,41,M,500,44,,$750 ,1000,$0.75 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,"$1,528 ",555.6,$2.75 ,,,,"$25,000 ",500,$50.00 ,,,,,1000,"In 5x100, cracks every 1'=500 plus cross cracks at 1'=500,=1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% HIGH,41,H,500,29,,"$2,000 ",2000,$1.00 ,$206 ,555.6,$0.37 ,,,,,,,"$1,667 ",555.6,$3.00 ,"$2,500 ",555.6,$4.50 ,"$25,000 ",500,$50.00 ,"$41,670 ",556,$75.00 ,,2000,"In 5x100, twice Medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  LOW,41,L,1500,44,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,"$1,389 ",555.6,$2.50 ,"$1,944 ",555.6,$3.50 ,"$75,000 ",1500,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  MODERATE,41,M,1500,29,,,,,,,,,,,,,,"$1,528 ",555.6,$2.75 ,"$2,222 ",555.6,$4.00 ,"$75,000 ",1500,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  HIGH,41,H,1500,11,,,,,,,,,,,,,,,,,"$2,500 ",555.6,$4.50 ,"$75,000 ",1500,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10% of  LOW,50,L,500,85,,$300 ,600,$0.50 ,,,,,,,,,,,,,,,,,,,,,,,600,500 sf is 5x100=210lf perim.  5@1x100=1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10%  MODERATE,50,M,500,72,,$450 ,600,$0.75 ,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,,,,,,,"$25,000 ",500,$50.00 ,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10%  HIGH,50,H,500,58,,,,,,,,$206 ,555.6,$0.37 ,"$1,667 ",555.6,$3.00 ,"$1,667 ",555.6,$3.00 ,"$2,500 ",555.6,$4.50 ,"$25,000 ",500,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30% LOW,50,L,1500,76,,$900 ,1800,$0.50 ,,,,$206 ,555.6,$0.37 ,"$1,111 ",555.6,$2.00 ,"$1,389 ",555.6,$2.50 ,"$1,944 ",555.6,$3.50 ,,,,,,,,1800,3 times Lower amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30% MODERATE,50,M,1500,55,,,,,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,"$2,222 ",555.6,$4.00 ,"$75,000 ",1500,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30%  HIGH,50,H,1500,35,,,,,,,,,,,"$1,667 ",555.6,$3.00 ,"$1,667 ",555.6,$3.00 ,"$2,500 ",555.6,$4.50 ,"$75,000 ",1500,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roughness,  LONG WAVELENGTH SWELLS",56,M,1000,56,,,,,,,,,,,,,,,,,"$4,167 ",555.6,$7.50 ,"$50,000 ",1000,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roughness- MANY LONG WAVELENGTH SWELLS,56,M,3000,36,,,,,,,,,,,,,,,,,"$4,167 ",555.6,$7.50 ,"$150,000 ",3000,$50.00 ,"$41,670 ",556,$75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roughness- Many SHORT WAVELENGTH BUMPS,44,M,2500,16,,,,,,,,,,,,,,,,,"$4,167 ",555.6,$7.50 ,"$125,000 ",2500,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,