,,,,,,Crack/Joint seal,,,Partial depth repair,,,Full-depth repair (local),,,Concrete overlay,,,Asphalt overlay,,,Rehab/Reconstruct,,,Grinding/grooving,,,Slab stabilization/ jacking/underseal,,,Crossstitching/ dowelbar retrofit,,,,,
Distress,DC,Sev,Quan,PCI,Do No,Cost,LF,$/LF,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,Cost,SY,$/SY,,Mod Quan,Explain
Joint seal is about 5 years old still in GOOD condition,-,-,-,100,,"$1,200 ",800,$1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,800,"20x20 slabs, Jt length=4x100+5x80=800"
JOINT SEAL DAMAGE LOW severity ,65,L,20,98,,"$1,200 ",800,$1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,800,"20x20 slabs, Jt length=4x100+5x80=800"
JOINT SEAL DAMAGE MODERATE,65,M,20,93,,"$1,400 ",800,$1.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,800,"20x20 slabs, Jt length=4x100+5x80=800"
JOINT SEAL DAMAGE HIGH severity,65,H,20,88,,"$1,600 ",800,$2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,800,"20x20 slabs, Jt length=4x100+5x80=800"
JOINT and CORNER SPALLS LOW severity ,74,L,5,93,,$15 ,10,$1.50 ,$60 ,0.6,$100 ,,,,,,,,,,,,,,,,,,,,,,,"CS L=10, Pat L=0.6","Crk Seal-Low 5@2'=10'  Patch Low=5@2'x6""=5sf /9sf/sy=0.6"
JOINT and CORNER SPALLS MODERATE severity ,74,M,5,84,,$26 ,15,$1.75 ,$80 ,0.8,$100 ,,,,,,,,,,,,,,,,,,,,,,,"CS M=15, Pat M=0.8","Crk Seal-Med 5@3'=15'  Patch Med=5@3'x6""=7.5sf/9sf/sy=0.8"
JOINT and CORNER SPALLS HIGH severity,74,H,5,68,,$50 ,25,$2.00 ,$280 ,2.8,$100 ,,,,,,,,,,,,,,,,,,,,,,,"CS H=25, Pat H=2.8","Crk Seal-H 5@5'=25'  Patch Med=5@5'x1""=25sf/9sf/sy=2.8"
MID-PANEL cracking on 20% of the slabs LOW severity,63,L,4,86,,$120 ,80,$1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,"CS=80, Pat=8.9","CS '4sl x 20'=80, PatL 4slx20'/9sf/sy=8.88"
MID-PANEL cracking on 20% of the slabs MODERATE ,63,M,4,72,,$140 ,80,$1.75 ,$889 ,8.9,$100 ,$889 ,8.9,$100 ,,,,,,,,,,,,,,,,,,,,"CS=80, Pat=8.9","CS '4sl x 20'=80, PatM 4slx20'/9sf/sy=8.88"
MID-PANEL cracking on 20% of the slabs HIGH ,63,H,4,60,,$160 ,80,$2.00 ,$889 ,8.9,$100 ,$889 ,8.9,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,,,,,,,,,,,,,,"CS=80, Pat=8.9","CS '4sl x 20'=80, PatH 4slx20'/9sf/sy=8.88"
MID-PANEL cracking on 40% of the slabs LOW severity,63,L,8,81,,$240 ,160,$1.50 ,$889 ,8.9,$100 ,$889 ,8.9,$100 ,"$15,556 ",888.9,$17.50 ,"$3,111 ",888.9,$3.50 ,,,,,,,,,,,,,,"CS=160, Pat=17.8","CS '8sl x 20'=160, PatL 8slx20'/9sf/sy=17.8"
MID-PANEL cracking on 40% of the slabs MODERATE ,63,M,8,60,,$280 ,160,$1.75 ,"$1,778 ",17.8,$100 ,"$1,778 ",17.8,$100 ,"$17,778 ",888.9,$20.00 ,"$3,556 ",888.9,$4.00 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,"CS=160, Pat=17.8","CS '8sl x 20'=160, PatM 8slx20'/9sf/sy=17.8"
MID-PANEL cracking on 40% of the slabs HIGH ,63,H,8,42,,$320 ,160,$2.00 ,"$3,556 ",35.6,$100 ,"$3,556 ",35.6,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,"CS=160, Pat=17.8","CS '8sl x 20'=160, PatH 8slx20'/9sf/sy=17.8"
CORNER BREAK on 10% of the slabs LOW,62,L,2,92,,$30 ,20,$1.50 ,,,,$556 ,5.6,$100 ,,,,,,,,,,,,,,,,,,,,"CS=20, Pat=5.6","Crk L=2sl x (5'+5')=20',Pat=2slx(5x5)/9=5.56sy"
CORNER BREAK on 10% of the slabs MODERATE,62,M,2,85,,$35 ,20,$1.75 ,,,,$556 ,5.6,$100 ,,,,,,,,,,,,,,,,,,,,"CS=20, Pat=5.6","Crk L=2sl x (5'+5')=20',Pat=2slx(5x5)/9=5.56sy"
CORNER BREAK on 10% of the slabs HIGH,62,H,2,77,,$40 ,20,$2.00 ,,,,$556 ,5.6,$100 ,,,,,,,,,,,,,,,,,,,,"CS=20, Pat=5.6","Crk L=2sl x (5'+5')=20',Pat=2slx(5x5)/9=5.56sy"
CORNER BREAK on 30% of the slabs LOW ,62,L,6,79,,$90 ,60,$1.50 ,,,,"$1,667 ",16.7,$100 ,,,,,,,,,,,,,,,,,,,,"CS=60, Pat=16.7","Crk=6sl x (5'+5')=60',Pat=6slx(5x5)/9=16.67sy"
CORNER BREAK on 30% of the slabs MODERATE,62,M,6,68,,$105 ,60,$1.75 ,,,,"$1,667 ",16.7,$100 ,"$17,778 ",888.9,$20.00 ,"$3,556 ",888.9,$4.00 ,,,,,,,,,,,,,,"CS=60, Pat=16.7","Crk=6sl x (5'+5')=60',Pat=6slx(5x5)/9=16.67sy"
CORNER BREAK on 30% of the slabs HIGH ,62,H,6,54,,$120 ,60,$2.00 ,,,,"$1,667 ",16.7,$100 ,,,,,,,"$88,889 ",888.9,$100 ,,,,,,,,,,,"CS=60, Pat=16.7","Crk=6sl x (5'+5')=60',Pat=6slx(5x5)/9=16.67sy"
10% of slabs are SHATTERED LOW ,72,L,2,83,,$120 ,80,$1.50 ,,,,"$8,889 ",88.9,$100 ,,,,,,,,,,,,,,,,,,,,"Cs=80,Pat=88.9","Crk L=2sl x (20'+20')=80',Pat=2x(20x20)/9sf/sy=88.9"
10% of slabs are SHATTERED MODERATE,72,M,2,73,,$210 ,120,$1.75 ,,,,"$8,889 ",88.9,$100 ,,,,,,,,,,,,,,,,,,,,"CS=120, Pat=88.9","Crk M=2slx(20'+20+20')=120',Pat=2x(20x20)/9sf/sy=88.9"
10% of slabs are SHATTERED HIGH ,72,H,2,60,,,,,,,,"$8,889 ",88.9,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,,,,,,,,,,,,,,Pat=88.9,Pat=2x(20x20)/9sf/sy=88.9
30% of slabs are SHATTERED LOW,72,L,6,68,,$360 ,240,$1.50 ,,,,"$26,667 ",266.7,$100 ,"$15,556 ",888.9,$17.50 ,"$3,111 ",888.9,$3.50 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,"CS=240, Pat=266.7","Crk L=6sl x (20'+20')=240', Pat=6x(20x20)/9sf/sy=266.7"
30% of slabs are SHATTERED MODERATE ,72,M,6,53,,$630 ,360,$1.75 ,,,,"$26,667 ",266.7,$100 ,"$17,778 ",888.9,$20.00 ,"$3,556 ",888.9,$4.00 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,"CS=360, Pat=266.7","Crk M=6slx(20'+20+20')=360', Pat=6x(20x20)/9sf/sy=266.7"
30% of slabs are SHATTERED HIGH,72,H,6,39,,,,,,,,"$26,667 ",266.7,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,Pat=266.7,Pat=6x(20x20)/9sf/sy=266.7
30% of area has PATCHES LOW ,67,L,6,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30% of area has PATCHES MODERATE,67,M,6,71,,$105 ,60,$1.75 ,$600 ,6,$100 ,$600 ,6,$100 ,,,,,,,,,,,,,,,,,,,,"CS=60, Pat=6","Crk M=6sl x (5'+5')=60', PatM=6@(3x3)/9sf/sy=6sy"
30% of area has PATCHES HIGH,67,H,6,48,,,,,$600 ,6,$100 ,$600 ,6,$100 ,,,,,,,"$88,889 ",888.9,$100 ,,,,,,,,,,,Pat=6,PatH=6@(3x3)/9sf/sy=6sy
50% of area has PATCHES LOW ,67,L,10,82,,,,,,,,,,,"$15,556 ",888.9,$17.50 ,"$3,111 ",888.9,$3.50 ,,,,,,,,,,,,,,,
50% of area has PATCHES MODERATE,67,M,10,62,,,,,"$1,000 ",10,$100 ,"$1,000 ",10,$100 ,"$17,778 ",888.9,$20.00 ,"$3,556 ",888.9,$4.00 ,,,,,,,,,,,,,,Pat=10,PatM=10@(3x3)/9sf/sy=6sy
50% of area has PATCHES HIGH,67,H,10,33,,,,,"$1,000 ",10,$100 ,"$1,000 ",10,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,"$88,889 ",888.9,$100 ,,,,,,,,,,,Pat=10,PatH=10@(3x3)/9sf/sy=6sy
10% of slabs are FAULTED LOW,71,L,2,92,,$60 ,40,$1.50 ,$444 ,4.4,$100 ,,,,,,,,,,,,,$22 ,8.9,$2.50 ,,,,,,,,"CS=40, Pat=4.4,Gr=8.8","Crk L=2sl x 20'=40', Pat=2x20=40sf/9sf/sy=4.4,GrL=2slx20'x2'/9sf/sy=8.8"
10% of slabs are FAULTED MODERATE ,71,M,2,86,,$70 ,40,$1.75 ,$444 ,4.4,$100 ,,,,,,,,,,,,,$62 ,17.7,$3.50 ,"$11,556 ",88.9,$130 ,,,,,"CS=40, Pat=4.4,Gr=17.7,SlSt=88.9","Crk L=2sl x 20'=40', Pat=2x20=40sf/9sf/sy=4.4,GrM=2slx20'x4'/9sf/sy=17.7,SlSt=2*(20*20)/9=88.9"
10% of slabs are FAULTED HIGH,71,H,2,74,,,,,$444 ,4.4,$100 ,$444 ,4.4,$100 ,,,,,,,,,,$120 ,26.7,$4.50 ,,,,$600 ,20.0,$30 ,,"Pat=4.4,Gr=26.7,X=20","Pat=2x20=40sf/9sf/sy=4.4,GrH=2slx20'x6'/9sf/sy=26.7,X=2x(20'/2bar/ft)"
30% of slabs are FAULTED LOW,71,L,6,80,,$210 ,120,$1.75 ,"$1,333 ",13.3,$100 ,,,,"$15,556 ",888.9,$17.50 ,"$3,111 ",888.9,$3.50 ,,,,$67 ,26.7,$2.50 ,"$29,333 ",266.7,$110 ,,,,,"CS=120, Pat=13.3,Gr=26.7,SlSt=266.7","Crk L=6sl x 20')=120',Pat=6x20=120sf/9sf/sy=13.3,GrL=6slx20'x2'/9sf/sy=26.7,SlSt=6*(20*20)/9=266.7"
30% of slabs are FAULTED MODERATE ,71,M,6,70,,,,,,,,,,,"$17,778 ",888.9,$20.00 ,"$3,556 ",888.9,$4.00 ,"$88,889 ",888.9,$100 ,$187 ,53.3,$3.50 ,"$34,667 ",266.7,$130 ,"$1,800 ",60.0,$30 ,,"Gr=53.3,SlSt=266.7,X=60","GrL=6slx20'x4'/9sf/sy=53.3,SlSt=6*(20*20)/9=266.7,X=6x(20'/2bar/ft)"
30% of slabs are FAULTED HIGH ,71,H,6,51,,,,,,,,"$1,333 ",13.3,$100 ,"$20,000 ",888.9,$22.50 ,"$4,000 ",888.9,$4.50 ,"$88,889 ",888.9,$100 ,$360 ,80.0,$4.50 ,"$40,000 ",266.7,$150 ,,,,,"Gr=80,SlSt=266.7","GrL=6slx20'x4'/9sf/sy=53.3,SlSt=6*(20*20)/9=266.7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,