Distress Description,DC,Sev,Quan,PCI,Do Nothing,Crack Seal/Fill,Rejuvenator,Fog/Coal tar seal,Slurry/Micro,Chip/Cape,Overlay/Mill+overlay,Patch/Reconstruct,Rehab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to weather,57,L,5000,94,0,0,145.5,128.1,145.5,164.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely Weathering,57,M,5000,80,0,0,254.9,234.8,254.7,274.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to ravel,52,L,5000,74,0,0,288.5,267.9,289,307.9,401.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely raveling ,52,M,5000,43,0,0,0,314.3,334.4,351.8,413.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints low,48,L,150,90,0,53.7,78.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints moderate,48,M,150,81,0,125.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints- high,48,H,150,67,0,196.8,0,0,0,0,419.6,247.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- low,48,L,400,80,0,50.4,70,57.4,0,285.7,384.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- moderate,48,M,400,67,0,117.4,0,121.6,315,333.9,419.6,247.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- high,48,H,400,50,0,158.6,0,0,0,0,423.5,228.8,683.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Low,48,L,150,90,0,53.7,78.1,62.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Moderate,48,M,150,81,0,125.1,0,0,0,0,375.8,186.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- High ,48,H,150,67,0,196.8,142.2,0,0,0,419.6,247.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart low,48,L,100,93,0,52.9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart moderate,48,M,100,84,0,140.4,165.2,147.7,0,0,365.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 50 ft apart high,48,H,100,73,0,204,0,0,0,0,407.9,248.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart- low,48,L,500,77,0,53.8,0,61.7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart moderate,48,M,500,63,0,119.1,0,0,0,307.9,401.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transverse cracks spaced 20 ft apart high,48,H,500,46,0,176.5,0,0,0,350.5,427.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking low,43,L,5000,64,0,34,0,37.6,0,339.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking moderate,43,M,5000,47,0,67.8,74,0,0,354.2,418.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block cracking high,43,H,5000,22,0,64.2,0,0,0,328.2,376.5,200.7,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking Low,47,L,200,91,0,57.7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking MODERATE,47,M,200,75,0,171.6,0,0,0,307.9,401.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflection cracking HIGH,47,H,200,64,0,210.1,0,0,0,0,427.3,244,660.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% of AREA  LOW,41,L,500,57,0,20.8,23.4,22.1,0,0,0,213.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% of AREA  MODERATE,41,M,500,44,0,39,39.5,40.3,0,351.8,0,217.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 10% HIGH,41,H,500,29,0,37.2,2.7,0,0,333.4,384.1,201.4,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  LOW,41,L,1500,44,0,0,1.9,1.9,0,351.8,413.7,146.2,690.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  MODERATE,41,M,1500,29,0,0,0,0,0,333.4,384.1,135.8,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue cracking- 30%  HIGH,41,H,1500,11,0,0,0,0,0,0,356.8,132.3,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10% of  LOW,50,L,500,85,0,53.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10%  MODERATE,50,M,500,72,0,43.7,0,49.5,297.7,0,0,157.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 10%  HIGH,50,H,500,58,0,0,0,27.5,331.7,350.5,427.3,207.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30% LOW,50,L,1500,76,0,46.5,0,52.4,289,297,393.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30% MODERATE,50,M,1500,55,0,0,0,22.1,334.5,352.9,426.9,136.2,669.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patching- 30%  HIGH,50,H,1500,35,0,0,0,0,324.3,342.5,398.3,143.7,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roughness,  LONG WAVELENGTH SWELLS",56,M,1000,56,0,0,0,0,0,0,426.9,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roughness- MANY LONG WAVELENGTH SWELLS,56,M,3000,36,0,0,0,0,0,0,398.3,99.4,691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roughness- Many SHORT WAVELENGTH BUMPS,44,M,2500,16,0,0,0,0,0,0,363.7,98.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,